Key;EN;RU;DE;FR
item_name_.308_rifle_ammo_box;.308 rifle ammo box;Патроны .308 (коробка);;
item_desc_.308_rifle_ammo_box;;;;
item_name_5.56_ammo_box;5.56 ammo box;Патроны 5.56 (коробка);;
item_desc_5.56_ammo_box;;;;
item_name_.22_ammo_box;.22 ammo box;Патроны .22 (коробка);;
item_desc_.22_ammo_box;;;;
item_name_single_bullet_cartridge;single bullet cartridge;Патрон (одиночный);;
item_desc_single_bullet_cartridge;;;;
item_name_pistol_magazine;pistol magazine;Магазин 9 мм;;
item_desc_pistol_magazine;;;;
item_name_1911_magazine;1911 magazine;Магазин .45;;
item_desc_1911_magazine;;;;
item_name_m16_magazine;M16 magazine;Магазин M16;;
item_desc_m16_magazine;;;;
item_name_rifle_scope;rifle scope;Оптический прицел;;
item_desc_rifle_scope;;;;
item_name_red_dot_sight;red dot sight;Коллиматорный прицел;;
item_desc_red_dot_sight;;;;
item_name_suppressor_silencer;suppressor silencer;Глушитель;;
item_desc_suppressor_silencer;;;;
item_name_makeshift_bottle_suppressor;makeshift bottle suppressor;Самодельный глушитель;;
item_desc_makeshift_bottle_suppressor;;;;
item_name_weapon_flashlight;weapon flashlight;Подствольный фонарь;;
item_desc_weapon_flashlight;;;;
item_name_rifle_sling;rifle sling;Ремень для оружия;;
item_desc_rifle_sling;;;;
item_name_gun_holster;gun holster;Кобура;;
item_desc_gun_holster;;;;
item_name_hand_saw;hand saw;Пила;;
item_desc_hand_saw;;;;
item_name_hacksaw;hacksaw;Ножовка по металлу;;
item_desc_hacksaw;;;;
item_name_pliers;pliers;Плоскогубцы;;
item_desc_pliers;;;;
item_name_adjustable_wrench;adjustable wrench;Гаечный ключ разводной;;
item_desc_adjustable_wrench;;;;
item_name_screwdriver_set;screwdriver set;Набор отвёрток;;
item_desc_screwdriver_set;;;;
item_name_tape_measure;tape measure;Рулетка;;
item_desc_tape_measure;;;;
item_name_can_opener;can opener;Консервный нож;;
item_desc_can_opener;;;;
item_name_soldering_iron;soldering iron;Паяльник;;
item_desc_soldering_iron;;;;
item_name_welding_mask;welding mask;Сварочная маска;;
item_desc_welding_mask;;;;
item_name_propane_welding_torch;propane welding torch;Сварочная горелка;;
item_desc_propane_welding_torch;;;;
item_name_car_jack;car jack;Домкрат;;
item_desc_car_jack;;;;
item_name_lug_wrench;lug wrench;Баллонный ключ;;
item_desc_lug_wrench;;;;
item_name_pickaxe;pickaxe;Кирка;;
item_desc_pickaxe;;;;
item_name_garden_trowel;garden trowel;Садовая лопатка;;
item_desc_garden_trowel;;;;
item_name_pruning_shears;pruning shears;Секатор;;
item_desc_pruning_shears;;;;
item_name_garden_hoe;garden hoe;Мотыга;;
item_desc_garden_hoe;;;;
item_name_chainsaw;chainsaw;Бензопила;;
item_desc_chainsaw;;;;
item_name_fishing_rod;fishing rod;Удочка;;
item_desc_fishing_rod;;;;
item_name_makeshift_fishing_rod;makeshift fishing rod;Спиннинг самодельный;;
item_desc_makeshift_fishing_rod;;;;
item_name_whetstone;whetstone;Точильный камень;;
item_desc_whetstone;;;;
item_name_sewing_needle;sewing needle;Швейная игла;;
item_desc_sewing_needle;;;;
item_name_suture_needle;suture needle;Хирургическая игла;;
item_desc_suture_needle;;;;
item_name_tweezers;tweezers;Пинцет;;
item_desc_tweezers;;;;
item_name_lighter;lighter;Зажигалка;;
item_desc_lighter;;;;
item_name_matchbox;matchbox;Спички;;
item_desc_matchbox;;;;
item_name_watering_can;watering can;Лейка;;
item_desc_watering_can;;;;
item_name_metal_bucket;metal bucket;Ведро;;
item_desc_metal_bucket;;;;
item_name_gas_can_jerry_can;gas can jerry can;Канистра;;
item_desc_gas_can_jerry_can;;;;
item_name_compass;compass;Компас;;
item_desc_compass;;;;
item_name_binoculars;binoculars;Бинокль;;
item_desc_binoculars;;;;
item_name_wooden_plank;wooden plank;Доска;;
item_desc_wooden_plank;;;;
item_name_log;log;Бревно;;
item_desc_log;;;;
item_name_tree_branch;tree branch;Ветка;;
item_desc_tree_branch;;;;
item_name_wooden_stick;wooden stick;Палка;;
item_desc_wooden_stick;;;;
item_name_box_of_nails;box of nails;Гвозди (коробка);;
item_desc_box_of_nails;;;;
item_name_nail;nail;Гвоздь;;
item_desc_nail;;;;
item_name_box_of_screws;box of screws;Шурупы (коробка);;
item_desc_box_of_screws;;;;
item_name_glue_bottle;glue bottle;Клей;;
item_desc_glue_bottle;;;;
item_name_duct_tape;duct tape;Изолента;;
item_desc_duct_tape;;;;
item_name_adhesive_tape_roll;adhesive tape roll;Скотч;;
item_desc_adhesive_tape_roll;;;;
item_name_sheet_metal;sheet metal;Металлический лист;;
item_desc_sheet_metal;;;;
item_name_small_sheet_metal;small sheet metal;Маленький металлический лист;;
item_desc_small_sheet_metal;;;;
item_name_metal_pipe;metal pipe;Металлическая труба;;
item_desc_metal_pipe;;;;
item_name_scrap_metal;scrap metal;Металлолом;;
item_desc_scrap_metal;;;;
item_name_wire_spool;wire spool;Проволока;;
item_desc_wire_spool;;;;
item_name_metal_chain;metal chain;Цепь;;
item_desc_metal_chain;;;;
item_name_rope_coil;rope coil;Верёвка;;
item_desc_rope_coil;;;;
item_name_sheet_rope;sheet rope;Простыня-верёвка;;
item_desc_sheet_rope;;;;
item_name_sandbag;sandbag;Мешок с песком;;
item_desc_sandbag;;;;
item_name_cement_bag;cement bag;Мешок цемента;;
item_desc_cement_bag;;;;
item_name_brick;brick;Кирпич;;
item_desc_brick;;;;
item_name_stone_rock;stone rock;Камень;;
item_desc_stone_rock;;;;
item_name_gravel_bag;gravel bag;Гравий (мешок);;
item_desc_gravel_bag;;;;
item_name_paint_can;paint can;Банка краски;;
item_desc_paint_can;;;;
item_name_paint_brush;paint brush;Кисть;;
item_desc_paint_brush;;;;
item_name_tarp;tarp;Брезент;;
item_desc_tarp;;;;
item_name_barbed_wire;barbed wire;Колючая проволока;;
item_desc_barbed_wire;;;;
item_name_propane_tank;propane tank;Пропан-баллон;;
item_desc_propane_tank;;;;
item_name_door_frame;door frame;Дверной проём (сборный);;
item_desc_door_frame;;;;
item_name_wooden_door;wooden door;Дверь деревянная;;
item_desc_wooden_door;;;;
item_name_window_frame;window frame;Оконная рама;;
item_desc_window_frame;;;;
item_name_rag_cloth;rag cloth;Тряпка;;
item_desc_rag_cloth;;;;
item_name_dirty_rag;dirty rag;Тряпка грязная;;
item_desc_dirty_rag;;;;
item_name_denim_strips;denim strips;Джинсовые лоскуты;;
item_desc_denim_strips;;;;
item_name_leather_strips;leather strips;Кожаные лоскуты;;
item_desc_leather_strips;;;;
item_name_thread_spool;thread spool;Нитки;;
item_desc_thread_spool;;;;
item_name_yarn_ball;yarn ball;Пряжа;;
item_desc_yarn_ball;;;;
item_name_electronics_scrap;electronics scrap;Электронный лом;;
item_desc_electronics_scrap;;;;
item_name_battery_aa;battery AA;Батарейка;;
item_desc_battery_aa;;;;
item_name_car_battery;car battery;Автомобильный аккумулятор;;
item_desc_car_battery;;;;
item_name_light_bulb;light bulb;Лампочка;;
item_desc_light_bulb;;;;
item_name_electric_wire;electric wire;Провода;;
item_desc_electric_wire;;;;
item_name_motion_sensor;motion sensor;Датчик движения;;
item_desc_motion_sensor;;;;
item_name_kitchen_timer;kitchen timer;Таймер;;
item_desc_kitchen_timer;;;;
item_name_radio_receiver_parts;radio receiver parts;Приёмник;;
item_desc_radio_receiver_parts;;;;
item_name_canned_beans;canned beans;Консервированная фасоль;;
item_desc_canned_beans;;;;
item_name_canned_soup;canned soup;Консервированный суп;;
item_desc_canned_soup;;;;
item_name_canned_meat;canned meat;Тушёнка;;
item_desc_canned_meat;;;;
item_name_canned_corn;canned corn;Консервированная кукуруза;;
item_desc_canned_corn;;;;
item_name_canned_peas;canned peas;Консервированный горошек;;
item_desc_canned_peas;;;;
item_name_canned_tuna;canned tuna;Тунец;;
item_desc_canned_tuna;;;;
item_name_canned_sardines;canned sardines;Сардины;;
item_desc_canned_sardines;;;;
item_name_canned_peaches;canned peaches;Консервированные персики;;
item_desc_canned_peaches;;;;
item_name_canned_tomatoes;canned tomatoes;Консервированные томаты;;
item_desc_canned_tomatoes;;;;
item_name_canned_chili;canned chili;Консервированный чили;;
item_desc_canned_chili;;;;
item_name_canned_carrots;canned carrots;Консервированная морковь;;
item_desc_canned_carrots;;;;
item_name_canned_spaghetti;canned spaghetti;Спагетти в банке;;
item_desc_canned_spaghetti;;;;
item_name_canned_dog_food;canned dog food;Корм для собак;;
item_desc_canned_dog_food;;;;
item_name_opened_tin_can;opened tin can;Открытая банка;;
item_desc_opened_tin_can;;;;
item_name_empty_tin_can;empty tin can;Пустая банка;;
item_desc_empty_tin_can;;;;
item_name_bag_of_rice;bag of rice;Рис (пакет);;
item_desc_bag_of_rice;;;;
item_name_pasta_box;pasta box;Макароны (пачка);;
item_desc_pasta_box;;;;
item_name_flour_bag;flour bag;Мука;;
item_desc_flour_bag;;;;
item_name_sugar_bag;sugar bag;Сахар;;
item_desc_sugar_bag;;;;
item_name_salt_shaker;salt shaker;Соль;;
item_desc_salt_shaker;;;;
item_name_oatmeal_box;oatmeal box;Крупа овсяная;;
item_desc_oatmeal_box;;;;
item_name_cereal_box;cereal box;Хлопья;;
item_desc_cereal_box;;;;
item_name_crackers_box;crackers box;Крекеры;;
item_desc_crackers_box;;;;
item_name_potato_chips_bag;potato chips bag;Чипсы;;
item_desc_potato_chips_bag;;;;
item_name_chocolate_bar;chocolate bar;Шоколадный батончик;;
item_desc_chocolate_bar;;;;
item_name_candy_pack;candy pack;Конфеты;;
item_desc_candy_pack;;;;
item_name_chewing_gum;chewing gum;Жевательная резинка;;
item_desc_chewing_gum;;;;
item_name_peanuts_bag;peanuts bag;Орехи;;
item_desc_peanuts_bag;;;;
item_name_dried_bread;dried bread;Сухари;;
item_desc_dried_bread;;;;
item_name_beef_jerky;beef jerky;Вяленое мясо;;
item_desc_beef_jerky;;;;
item_name_instant_noodles;instant noodles;Лапша быстрого приготовления;;
item_desc_instant_noodles;;;;
item_name_granola_bar;granola bar;Мюсли батончик;;
item_desc_granola_bar;;;;
item_name_peanut_butter_jar;peanut butter jar;Арахисовое масло;;
item_desc_peanut_butter_jar;;;;
item_name_jam_jar;jam jar;Джем;;
item_desc_jam_jar;;;;
item_name_honey_jar;honey jar;Мёд;;
item_desc_honey_jar;;;;
item_name_coffee_can;coffee can;Кофе (банка);;
item_desc_coffee_can;;;;
item_name_tea_box;tea box;Чай (пачка);;
item_desc_tea_box;;;;
item_name_spice_jar;spice jar;Специи;;
item_desc_spice_jar;;;;
item_name_cooking_oil_bottle;cooking oil bottle;Растительное масло;;
item_desc_cooking_oil_bottle;;;;
item_name_ketchup_bottle;ketchup bottle;Кетчуп;;
item_desc_ketchup_bottle;;;;
item_name_vinegar_bottle;vinegar bottle;Уксус;;
item_desc_vinegar_bottle;;;;
item_name_apple;apple;Яблоко;;
item_desc_apple;;;;
item_name_banana;banana;Банан;;
item_desc_banana;;;;
item_name_orange;orange;Апельсин;;
item_desc_orange;;;;
item_name_potato;potato;Картофель;;
item_desc_potato;;;;
item_name_carrot;carrot;Морковь;;
item_desc_carrot;;;;
item_name_cabbage;cabbage;Капуста;;
item_desc_cabbage;;;;
item_name_tomato;tomato;Помидор;;
item_desc_tomato;;;;
item_name_onion;onion;Лук;;
item_desc_onion;;;;
item_name_bell_pepper;bell pepper;Перец;;
item_desc_bell_pepper;;;;
item_name_lettuce;lettuce;Салат;;
item_desc_lettuce;;;;
item_name_corn_cob;corn cob;Кукуруза (початок);;
item_desc_corn_cob;;;;
item_name_pumpkin;pumpkin;Тыква;;
item_desc_pumpkin;;;;
item_name_strawberries;strawberries;Клубника;;
item_desc_strawberries;;;;
item_name_loaf_of_bread;loaf of bread;Хлеб;;
item_desc_loaf_of_bread;;;;
item_name_egg_carton;egg carton;Яйца (упаковка);;
item_desc_egg_carton;;;;
item_name_egg;egg;Яйцо;;
item_desc_egg;;;;
item_name_milk_carton;milk carton;Молоко;;
item_desc_milk_carton;;;;
item_name_cheese_block;cheese block;Сыр;;
item_desc_cheese_block;;;;
item_name_butter;butter;Масло сливочное;;
item_desc_butter;;;;
item_name_raw_steak;raw steak;Стейк;;
item_desc_raw_steak;;;;
item_name_raw_chicken;raw chicken;Курица;;
item_desc_raw_chicken;;;;
item_name_ground_beef;ground beef;Фарш;;
item_desc_ground_beef;;;;
item_name_bacon;bacon;Бекон;;
item_desc_bacon;;;;
item_name_hot_dogs_pack;hot dogs pack;Сосиски;;
item_desc_hot_dogs_pack;;;;
item_name_raw_fish;raw fish;Рыба (сырая);;
item_desc_raw_fish;;;;
item_name_raw_rabbit_meat;raw rabbit meat;Мясо кролика;;
item_desc_raw_rabbit_meat;;;;
item_name_raw_bird_meat;raw bird meat;Мясо птицы (дичь);;
item_desc_raw_bird_meat;;;;
item_name_pizza;pizza;Пицца;;
item_desc_pizza;;;;
item_name_hamburger;hamburger;Бургер;;
item_desc_hamburger;;;;
item_name_donut;donut;Пончик;;
item_desc_donut;;;;
item_name_frozen_dinner_tray;frozen dinner tray;Замороженный ужин;;
item_desc_frozen_dinner_tray;;;;
item_name_ice_cream_tub;ice cream tub;Мороженое;;
item_desc_ice_cream_tub;;;;
item_name_wild_berries;wild berries;Ягоды (съедобные);;
item_desc_wild_berries;;;;
item_name_poison_berries;poison berries;Ягоды (ядовитые);;
item_desc_poison_berries;;;;
item_name_edible_mushroom;edible mushroom;Грибы (съедобные);;
item_desc_edible_mushroom;;;;
item_name_poison_mushroom;poison mushroom;Грибы (ядовитые);;
item_desc_poison_mushroom;;;;
item_name_worm_bait;worm bait;Червь;;
item_desc_worm_bait;;;;
item_name_grasshopper;grasshopper;Кузнечик;;
item_desc_grasshopper;;;;
item_name_wild_onion;wild onion;Дикий лук;;
item_desc_wild_onion;;;;
item_name_acorns;acorns;Жёлуди;;
item_desc_acorns;;;;
item_name_water_bottle;water bottle;Бутылка воды;;
item_desc_water_bottle;;;;
item_name_soda_can;soda can;Газировка (банка);;
item_desc_soda_can;;;;
item_name_2_liter_soda_bottle;2 liter soda bottle;Газировка (бутылка 2 л);;
item_desc_2_liter_soda_bottle;;;;
item_name_juice_box;juice box;Сок (пакет);;
item_desc_juice_box;;;;
item_name_beer_can;beer can;Пиво (банка);;
item_desc_beer_can;;;;
item_name_beer_bottle;beer bottle;Пиво (бутылка);;
item_desc_beer_bottle;;;;
item_name_wine_bottle;wine bottle;Вино;;
item_desc_wine_bottle;;;;
item_name_whiskey_bottle;whiskey bottle;Виски;;
item_desc_whiskey_bottle;;;;
item_name_vodka_bottle;vodka bottle;Водка;;
item_desc_vodka_bottle;;;;
item_name_energy_drink_can;energy drink can;Энергетик;;
item_desc_energy_drink_can;;;;
item_name_empty_plastic_bottle;empty plastic bottle;Пустая бутылка;;
item_desc_empty_plastic_bottle;;;;
item_name_empty_glass_bottle;empty glass bottle;Пустая стеклянная бутылка;;
item_desc_empty_glass_bottle;;;;
item_name_canteen;canteen;Фляга;;
item_desc_canteen;;;;
item_name_mug;mug;Кружка;;
item_desc_mug;;;;
item_name_thermos;thermos;Термос;;
item_desc_thermos;;;;
item_name_pot_of_soup;pot of soup;Кастрюля с супом;;
item_desc_pot_of_soup;;;;
item_name_pot_of_stew;pot of stew;Кастрюля с рагу;;
item_desc_pot_of_stew;;;;
item_name_cooked_meat;cooked meat;Жареное мясо;;
item_desc_cooked_meat;;;;
item_name_cooked_fish;cooked fish;Жареная рыба;;
item_desc_cooked_fish;;;;
item_name_sandwich;sandwich;Сэндвич;;
item_desc_sandwich;;;;
item_name_salad_bowl;salad bowl;Салат (миска);;
item_desc_salad_bowl;;;;
item_name_jar_of_pickles;jar of pickles;Банка с соленьями;;
item_desc_jar_of_pickles;;;;
item_name_empty_mason_jar;empty mason jar;Пустая стеклянная банка;;
item_desc_empty_mason_jar;;;;
item_name_jar_lid;jar lid;Крышка для банки;;
item_desc_jar_lid;;;;
item_name_burnt_food;burnt food;Сгоревшая еда;;
item_desc_burnt_food;;;;
item_name_cooking_pot;cooking pot;Кастрюля;;
item_desc_cooking_pot;;;;
item_name_saucepan;saucepan;Сотейник;;
item_desc_saucepan;;;;
item_name_kettle;kettle;Чайник;;
item_desc_kettle;;;;
item_name_baking_tray;baking tray;Противень;;
item_desc_baking_tray;;;;
item_name_bowl;bowl;Миска;;
item_desc_bowl;;;;
item_name_plate;plate;Тарелка;;
item_desc_plate;;;;
item_name_fork;fork;Вилка;;
item_desc_fork;;;;
item_name_spoon;spoon;Ложка;;
item_desc_spoon;;;;
item_name_ladle;ladle;Половник;;
item_desc_ladle;;;;
item_name_cutting_board;cutting board;Разделочная доска;;
item_desc_cutting_board;;;;
item_name_kitchen_thermometer;kitchen thermometer;Термометр кухонный;;
item_desc_kitchen_thermometer;;;;
item_name_oven_mitt;oven mitt;Прихватка;;
item_desc_oven_mitt;;;;
item_name_bandage_roll;bandage roll;Бинт;;
item_desc_bandage_roll;;;;
item_name_sterile_bandage;sterile bandage;Стерильный бинт;;
item_desc_sterile_bandage;;;;
item_name_adhesive_bandage;adhesive bandage;Пластырь;;
item_desc_adhesive_bandage;;;;
item_name_rubbing_alcohol_bottle;rubbing alcohol bottle;Спирт (бутылка);;
item_desc_rubbing_alcohol_bottle;;;;
item_name_antiseptic_bottle;antiseptic bottle;Дезинфектор;;
item_desc_antiseptic_bottle;;;;
item_name_alcohol_wipes;alcohol wipes;Спиртовые салфетки;;
item_desc_alcohol_wipes;;;;
item_name_cotton_balls;cotton balls;Вата;;
item_desc_cotton_balls;;;;
item_name_suture_thread;suture thread;Нитки хирургические;;
item_desc_suture_thread;;;;
item_name_medical_splint;medical splint;Шина;;
item_desc_medical_splint;;;;
item_name_tourniquet;tourniquet;Жгут;;
item_desc_tourniquet;;;;
item_name_latex_gloves;latex gloves;Перчатки медицинские;;
item_desc_latex_gloves;;;;
item_name_first_aid_kit;first aid kit;Аптечка;;
item_desc_first_aid_kit;;;;
item_name_large_medical_bag;large medical bag;Аптечка большая;;
item_desc_large_medical_bag;;;;
item_name_ointment_tube;ointment tube;Мазь;;
item_desc_ointment_tube;;;;
item_name_ice_pack;ice pack;Холодный компресс;;
item_desc_ice_pack;;;;
item_name_painkiller_pill_bottle;painkiller pill bottle;Обезболивающее;;
item_desc_painkiller_pill_bottle;;;;
item_name_antibiotics_pill_bottle;antibiotics pill bottle;Антибиотики;;
item_desc_antibiotics_pill_bottle;;;;
item_name_beta_blockers_pill_bottle;beta blockers pill bottle;Бета-блокаторы;;
item_desc_beta_blockers_pill_bottle;;;;
item_name_antidepressants_pill_bottle;antidepressants pill bottle;Антидепрессанты;;
item_desc_antidepressants_pill_bottle;;;;
item_name_sleeping_pills_bottle;sleeping pills bottle;Снотворное;;
item_desc_sleeping_pills_bottle;;;;
item_name_vitamins_bottle;vitamins bottle;Витамины;;
item_desc_vitamins_bottle;;;;
item_name_cigarette_pack;cigarette pack;Сигареты (пачка);;
item_desc_cigarette_pack;;;;
item_name_single_cigarette;single cigarette;Сигарета;;
item_desc_single_cigarette;;;;
item_name_nicotine_gum;nicotine gum;Никотиновая жвачка;;
item_desc_nicotine_gum;;;;
item_name_medicinal_herbs;medicinal herbs;Лекарственные травы;;
item_desc_medicinal_herbs;;;;
item_name_herbal_tea_mug;herbal tea mug;Травяной отвар;;
item_desc_herbal_tea_mug;;;;
item_name_poultice;poultice;Припарка;;
item_desc_poultice;;;;
item_name_old_book;old book;Книга: Плотничество (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Кулинария (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Фермерство (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Первая помощь (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Электрика (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Металлообработка (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Механика (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Шитьё (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Рыбалка (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Ловушки (5 томов);;
item_desc_old_book;;;;
item_name_old_book;old book;Книга: Собирательство (5 томов);;
item_desc_old_book;;;;
item_name_magazine;magazine;Журнал с рецептами;;
item_desc_magazine;;;;
item_name_comic_book;comic book;Комикс;;
item_desc_comic_book;;;;
item_name_newspaper;newspaper;Газета;;
item_desc_newspaper;;;;
item_name_paperback_novel;paperback novel;Роман;;
item_desc_paperback_novel;;;;
item_name_folded_paper_map;folded paper map;Карта города (бумажная);;
item_desc_folded_paper_map;;;;
item_name_notebook;notebook;Блокнот;;
item_desc_notebook;;;;
item_name_pencil;pencil;Карандаш;;
item_desc_pencil;;;;
item_name_pen;pen;Ручка;;
item_desc_pen;;;;
item_name_magazine;magazine;Журнал: генератор;;
item_desc_magazine;;;;
item_name_magazine;magazine;Журнал: механика машин;;
item_desc_magazine;;;;
item_name_flashlight;flashlight;Фонарик;;
item_desc_flashlight;;;;
item_name_headlamp;headlamp;Налобный фонарь;;
item_desc_headlamp;;;;
item_name_camping_lantern;camping lantern;Фонарь кемпинговый;;
item_desc_camping_lantern;;;;
item_name_candle;candle;Свеча;;
item_desc_candle;;;;
item_name_torch;torch;Факел;;
item_desc_torch;;;;
item_name_walkie_talkie;walkie talkie;Рация;;
item_desc_walkie_talkie;;;;
item_name_portable_radio;portable radio;Радиоприёмник;;
item_desc_portable_radio;;;;
item_name_wrist_watch;wrist watch;Часы наручные;;
item_desc_wrist_watch;;;;
item_name_digital_watch;digital watch;Цифровые часы;;
item_desc_digital_watch;;;;
item_name_alarm_clock;alarm clock;Будильник;;
item_desc_alarm_clock;;;;
item_name_old_cell_phone_90s;old cell phone 90s;Мобильный телефон;;
item_desc_old_cell_phone_90s;;;;
item_name_cd_player;cd player;Плеер;;
item_desc_cd_player;;;;
item_name_flare_gun;flare gun;Сигнальная ракетница;;
item_desc_flare_gun;;;;
item_name_road_flare;road flare;Фальшфейер;;
item_desc_road_flare;;;;
item_name_noise_maker_trap;noise maker trap;Шумовая ловушка;;
item_desc_noise_maker_trap;;;;
item_name_pipe_bomb;pipe bomb;Самодельная бомба;;
item_desc_pipe_bomb;;;;
item_name_molotov_cocktail;molotov cocktail;Коктейль Молотова;;
item_desc_molotov_cocktail;;;;
item_name_seed_packet;seed packet;Семена моркови;;
item_desc_seed_packet;;;;
