id;Категория;Подкатегория;Название;Name (EN);Что искать (запрос);Тип модели;Риг/особенности;Трис;Иконка;Вес, кг;Милестоун;Статус;Заметка
17;Оружие ближнее;Длинное дробящее;Грабли;garden rake;low poly garden rake 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M2;Нет;
18;Оружие ближнее;Длинное дробящее;Весло;canoe paddle;low poly canoe paddle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.2;M2;Нет;
19;Оружие ближнее;Длинное дробящее;Бильярдный кий;pool cue;low poly pool cue 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.5;M2;Нет;
20;Оружие ближнее;Короткое дробящее;Молоток;claw hammer;low poly claw hammer 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M2;Нет;
21;Оружие ближнее;Короткое дробящее;Сковорода;frying pan;low poly frying pan 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.2;M2;Нет;
22;Оружие ближнее;Короткое дробящее;Скалка;rolling pin;low poly rolling pin 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.6;M2;Нет;
23;Оружие ближнее;Короткое дробящее;Гаечный ключ;pipe wrench;low poly pipe wrench 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M2;Нет;
24;Оружие ближнее;Короткое дробящее;Дубинка полицейская;police baton;low poly police baton 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.7;M2;Нет;
25;Оружие ближнее;Короткое дробящее;Кастет;brass knuckles;low poly brass knuckles 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.2;M2;Нет;
26;Оружие ближнее;Короткое дробящее;Молоток-гвоздодёр каменный;stone hammer primitive;low poly stone hammer primitive 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M2;Нет;крафт
27;Оружие ближнее;Длинные клинки;Мачете;machete;low poly machete 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M5;Нет;
28;Оружие ближнее;Длинные клинки;Катана;katana;low poly katana 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.2;M5;Нет;
29;Оружие ближнее;Длинные клинки;Коса;scythe;low poly scythe 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.0;M5;Нет;
30;Оружие ближнее;Короткие клинки;Кухонный нож;kitchen knife;low poly kitchen knife 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M2;Нет;
31;Оружие ближнее;Короткие клинки;Охотничий нож;hunting knife;low poly hunting knife 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.4;M2;Нет;
32;Оружие ближнее;Короткие клинки;Нож для мяса (тесак);meat cleaver;low poly meat cleaver 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.6;M2;Нет;
33;Оружие ближнее;Короткие клинки;Отвёртка;screwdriver;low poly screwdriver 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.2;M2;Нет;
34;Оружие ближнее;Короткие клинки;Ножницы;scissors;low poly scissors 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.2;M2;Нет;
35;Оружие ближнее;Короткие клинки;Разбитая бутылка;broken glass bottle;low poly broken glass bottle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M2;Нет;
36;Оружие ближнее;Короткие клинки;Каменный нож;stone knife primitive;low poly stone knife primitive 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M2;Нет;крафт
37;Оружие ближнее;Копья;Заточенная палка;sharpened wooden stick spear;low poly sharpened wooden stick spear 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M5;Нет;крафт
38;Оружие ближнее;Копья;Копьё с ножом;spear with knife tied;low poly spear with knife tied 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.3;M5;Нет;крафт
39;Оружие ближнее;Копья;Вилы;pitchfork;low poly pitchfork 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;2.0;M5;Нет;
40;Огнестрел;Пистолеты;Пистолет 9 мм;9mm pistol handgun;low poly 9mm pistol handgun 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.9;M5;Нет;
41;Огнестрел;Пистолеты;Пистолет .45;M1911 pistol;low poly M1911 pistol 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.1;M5;Нет;
42;Огнестрел;Пистолеты;Револьвер .38;.38 revolver;low poly .38 revolver 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.9;M5;Нет;
43;Огнестрел;Пистолеты;Револьвер .44 Magnum;.44 magnum revolver;low poly .44 magnum revolver 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.3;M5;Нет;
44;Огнестрел;Дробовики;Помповый дробовик;pump action shotgun;low poly pump action shotgun 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.5;M5;Нет;
45;Огнестрел;Дробовики;Двустволка;double barrel shotgun;low poly double barrel shotgun 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.2;M5;Нет;
46;Огнестрел;Дробовики;Обрез;sawed off shotgun;low poly sawed off shotgun 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;2.0;M5;Нет;крафт из двустволки
47;Огнестрел;Винтовки;Охотничья винтовка болтовая;bolt action hunting rifle;low poly bolt action hunting rifle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.8;M5;Нет;
48;Огнестрел;Винтовки;Винтовка с рычажным затвором;lever action rifle;low poly lever action rifle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.5;M5;Нет;
49;Огнестрел;Винтовки;Штурмовая винтовка M16;M16 assault rifle;low poly M16 assault rifle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.5;M5;Нет;
50;Огнестрел;Винтовки;Полуавтоматическая винтовка;semi automatic rifle;low poly semi automatic rifle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.8;M5;Нет;
51;Огнестрел;Винтовки;Винтовка .22;.22 rifle;low poly .22 rifle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;2.5;M5;Нет;
52;Огнестрел;Боеприпасы;Патроны 9 мм (коробка);9mm ammo box;low poly 9mm ammo box 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M5;Нет;
53;Огнестрел;Боеприпасы;Патроны .45 (коробка);.45 ammo box;low poly .45 ammo box 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M5;Нет;
54;Огнестрел;Боеприпасы;Патроны .38 (коробка);.38 ammo box;low poly .38 ammo box 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M5;Нет;
55;Огнестрел;Боеприпасы;Патроны .44 (коробка);.44 ammo box;low poly .44 ammo box 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M5;Нет;
56;Огнестрел;Боеприпасы;Дробь 12 калибра (коробка);12 gauge shotgun shells box;low poly 12 gauge shotgun shells box 3d model;На земле / в инвентаре;статичная;200-800;да;0.6;M5;Нет;
57;Огнестрел;Боеприпасы;Патроны .308 (коробка);.308 rifle ammo box;low poly .308 rifle ammo box 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M5;Нет;
58;Огнестрел;Боеприпасы;Патроны 5.56 (коробка);5.56 ammo box;low poly 5.56 ammo box 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M5;Нет;
59;Огнестрел;Боеприпасы;Патроны .22 (коробка);.22 ammo box;low poly .22 ammo box 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M5;Нет;
60;Огнестрел;Боеприпасы;Патрон (одиночный);single bullet cartridge;low poly single bullet cartridge 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M5;Нет;одна модель на все калибры
61;Огнестрел;Магазины и модули;Магазин 9 мм;pistol magazine;low poly pistol magazine 3d model;Запчасть;статичная;300-800;да;0.2;M5;Нет;
62;Огнестрел;Магазины и модули;Магазин .45;1911 magazine;low poly 1911 magazine 3d model;Запчасть;статичная;300-800;да;0.2;M5;Нет;
63;Огнестрел;Магазины и модули;Магазин M16;M16 magazine;low poly M16 magazine 3d model;Запчасть;статичная;300-800;да;0.3;M5;Нет;
64;Огнестрел;Магазины и модули;Оптический прицел;rifle scope;low poly rifle scope 3d model;Запчасть;статичная;300-800;да;0.5;M5;Нет;
65;Огнестрел;Магазины и модули;Коллиматорный прицел;red dot sight;low poly red dot sight 3d model;Запчасть;статичная;300-800;да;0.2;M5;Нет;
66;Огнестрел;Магазины и модули;Глушитель;suppressor silencer;low poly suppressor silencer 3d model;Запчасть;статичная;300-800;да;0.3;M5;Нет;
67;Огнестрел;Магазины и модули;Самодельный глушитель;makeshift bottle suppressor;low poly makeshift bottle suppressor 3d model;Запчасть;статичная;300-800;да;0.3;M5;Нет;крафт
68;Огнестрел;Магазины и модули;Подствольный фонарь;weapon flashlight;low poly weapon flashlight 3d model;Запчасть;статичная;300-800;да;0.2;M5;Нет;
69;Огнестрел;Магазины и модули;Ремень для оружия;rifle sling;low poly rifle sling 3d model;Запчасть;статичная;300-800;да;0.2;M5;Нет;
70;Огнестрел;Магазины и модули;Кобура;gun holster;low poly gun holster 3d model;Запчасть;статичная;300-800;да;0.3;M5;Нет;носится на поясе
71;Инструменты;Ручные;Пила;hand saw;low poly hand saw 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M6;Нет;
72;Инструменты;Ручные;Ножовка по металлу;hacksaw;low poly hacksaw 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.6;M6;Нет;
73;Инструменты;Ручные;Плоскогубцы;pliers;low poly pliers 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M6;Нет;
74;Инструменты;Ручные;Гаечный ключ разводной;adjustable wrench;low poly adjustable wrench 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.5;M6;Нет;
75;Инструменты;Ручные;Набор отвёрток;screwdriver set;low poly screwdriver set 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.5;M6;Нет;
76;Инструменты;Ручные;Рулетка;tape measure;low poly tape measure 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.2;M6;Нет;
77;Инструменты;Ручные;Консервный нож;can opener;low poly can opener 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.1;M6;Нет;
78;Инструменты;Ручные;Паяльник;soldering iron;low poly soldering iron 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M6;Нет;
79;Инструменты;Ручные;Сварочная маска;welding mask;low poly welding mask 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M6;Нет;также надевается
80;Инструменты;Ручные;Сварочная горелка;propane welding torch;low poly propane welding torch 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M6;Нет;
81;Инструменты;Ручные;Домкрат;car jack;low poly car jack 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.0;M6;Нет;
82;Инструменты;Ручные;Баллонный ключ;lug wrench;low poly lug wrench 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M6;Нет;
83;Инструменты;Ручные;Кирка;pickaxe;low poly pickaxe 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.0;M6;Нет;
84;Инструменты;Ручные;Садовая лопатка;garden trowel;low poly garden trowel 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M6;Нет;
85;Инструменты;Ручные;Секатор;pruning shears;low poly pruning shears 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M6;Нет;
86;Инструменты;Ручные;Мотыга;garden hoe;low poly garden hoe 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M6;Нет;
87;Инструменты;Ручные;Бензопила;chainsaw;low poly chainsaw 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;6.0;M6;Нет;бэклог
88;Инструменты;Ручные;Удочка;fishing rod;low poly fishing rod 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M6;Нет;
89;Инструменты;Ручные;Спиннинг самодельный;makeshift fishing rod;low poly makeshift fishing rod 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.5;M6;Нет;крафт
90;Инструменты;Ручные;Точильный камень;whetstone;low poly whetstone 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.3;M6;Нет;
91;Инструменты;Ручные;Швейная игла;sewing needle;low poly sewing needle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.01;M6;Нет;
92;Инструменты;Ручные;Хирургическая игла;suture needle;low poly suture needle 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.01;M6;Нет;
93;Инструменты;Ручные;Пинцет;tweezers;low poly tweezers 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.05;M6;Нет;
94;Инструменты;Ручные;Зажигалка;lighter;low poly lighter 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.05;M6;Нет;
95;Инструменты;Ручные;Спички;matchbox;low poly matchbox 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.05;M6;Нет;
96;Инструменты;Ручные;Лейка;watering can;low poly watering can 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M6;Нет;
97;Инструменты;Ручные;Ведро;metal bucket;low poly metal bucket 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M6;Нет;
98;Инструменты;Ручные;Канистра;gas can jerry can;low poly gas can jerry can 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M6;Нет;Drainable: бензин
99;Инструменты;Ручные;Компас;compass;low poly compass 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.1;M6;Нет;
100;Инструменты;Ручные;Бинокль;binoculars;low poly binoculars 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M6;Нет;
101;Материалы;Строительство;Доска;wooden plank;low poly wooden plank 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M6;Нет;
102;Материалы;Строительство;Бревно;log;low poly log 3d model;На земле / в инвентаре;статичная;200-800;да;8.0;M6;Нет;
103;Материалы;Строительство;Ветка;tree branch;low poly tree branch 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M6;Нет;
104;Материалы;Строительство;Палка;wooden stick;low poly wooden stick 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M6;Нет;
105;Материалы;Строительство;Гвозди (коробка);box of nails;low poly box of nails 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M6;Нет;
106;Материалы;Строительство;Гвоздь;nail;low poly nail 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M6;Нет;
107;Материалы;Строительство;Шурупы (коробка);box of screws;low poly box of screws 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M6;Нет;
108;Материалы;Строительство;Клей;glue bottle;low poly glue bottle 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M6;Нет;
109;Материалы;Строительство;Изолента;duct tape;low poly duct tape 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M6;Нет;
110;Материалы;Строительство;Скотч;adhesive tape roll;low poly adhesive tape roll 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M6;Нет;
111;Материалы;Строительство;Металлический лист;sheet metal;low poly sheet metal 3d model;На земле / в инвентаре;статичная;200-800;да;3.0;M6;Нет;
112;Материалы;Строительство;Маленький металлический лист;small sheet metal;low poly small sheet metal 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M6;Нет;
113;Материалы;Строительство;Металлическая труба;metal pipe;low poly metal pipe 3d model;На земле / в инвентаре;статичная;200-800;да;1.5;M6;Нет;
114;Материалы;Строительство;Металлолом;scrap metal;low poly scrap metal 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M6;Нет;
115;Материалы;Строительство;Проволока;wire spool;low poly wire spool 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M6;Нет;
116;Материалы;Строительство;Цепь;metal chain;low poly metal chain 3d model;На земле / в инвентаре;статичная;200-800;да;1.5;M6;Нет;
117;Материалы;Строительство;Верёвка;rope coil;low poly rope coil 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M6;Нет;
118;Материалы;Строительство;Простыня-верёвка;sheet rope;low poly sheet rope 3d model;На земле / в инвентаре;статичная;200-800;да;0.8;M6;Нет;крафт, спуск из окна
119;Материалы;Строительство;Мешок с песком;sandbag;low poly sandbag 3d model;На земле / в инвентаре;статичная;200-800;да;10.0;M6;Нет;
120;Материалы;Строительство;Мешок цемента;cement bag;low poly cement bag 3d model;На земле / в инвентаре;статичная;200-800;да;20.0;M6;Нет;
121;Материалы;Строительство;Кирпич;brick;low poly brick 3d model;На земле / в инвентаре;статичная;200-800;да;2.0;M6;Нет;
122;Материалы;Строительство;Камень;stone rock;low poly stone rock 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M6;Нет;
123;Материалы;Строительство;Гравий (мешок);gravel bag;low poly gravel bag 3d model;На земле / в инвентаре;статичная;200-800;да;10.0;M6;Нет;
124;Материалы;Строительство;Банка краски;paint can;low poly paint can 3d model;На земле / в инвентаре;статичная;200-800;да;2.0;M6;Нет;
125;Материалы;Строительство;Кисть;paint brush;low poly paint brush 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M6;Нет;
126;Материалы;Строительство;Брезент;tarp;low poly tarp 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M6;Нет;
127;Материалы;Строительство;Колючая проволока;barbed wire;low poly barbed wire 3d model;На земле / в инвентаре;статичная;200-800;да;2.0;M6;Нет;
128;Материалы;Строительство;Пропан-баллон;propane tank;low poly propane tank 3d model;На земле / в инвентаре;статичная;200-800;да;5.0;M6;Нет;
129;Материалы;Строительство;Дверной проём (сборный);door frame;low poly door frame 3d model;На земле / в инвентаре;статичная;200-800;да;10.0;M6;Нет;для строительства
130;Материалы;Строительство;Дверь деревянная;wooden door;low poly wooden door 3d model;На земле / в инвентаре;статичная;200-800;да;15.0;M6;Нет;снятая дверь, можно поставить
131;Материалы;Строительство;Оконная рама;window frame;low poly window frame 3d model;На земле / в инвентаре;статичная;200-800;да;5.0;M6;Нет;
132;Материалы;Шитьё и ткань;Тряпка;rag cloth;low poly rag cloth 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M6;Нет;
133;Материалы;Шитьё и ткань;Тряпка грязная;dirty rag;low poly dirty rag 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M6;Нет;вариант текстуры
134;Материалы;Шитьё и ткань;Джинсовые лоскуты;denim strips;low poly denim strips 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M6;Нет;
135;Материалы;Шитьё и ткань;Кожаные лоскуты;leather strips;low poly leather strips 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M6;Нет;
136;Материалы;Шитьё и ткань;Нитки;thread spool;low poly thread spool 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M6;Нет;
137;Материалы;Шитьё и ткань;Пряжа;yarn ball;low poly yarn ball 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M6;Нет;
138;Материалы;Электроника;Электронный лом;electronics scrap;low poly electronics scrap 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M7;Нет;
139;Материалы;Электроника;Батарейка;battery AA;low poly battery AA 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
140;Материалы;Электроника;Автомобильный аккумулятор;car battery;low poly car battery 3d model;На земле / в инвентаре;статичная;200-800;да;10.0;M7;Нет;также запчасть
141;Материалы;Электроника;Лампочка;light bulb;low poly light bulb 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M7;Нет;
142;Материалы;Электроника;Провода;electric wire;low poly electric wire 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M7;Нет;
143;Материалы;Электроника;Датчик движения;motion sensor;low poly motion sensor 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M7;Нет;
144;Материалы;Электроника;Таймер;kitchen timer;low poly kitchen timer 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M7;Нет;
145;Материалы;Электроника;Приёмник;radio receiver parts;low poly radio receiver parts 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M7;Нет;
146;Еда;Консервы;Консервированная фасоль;canned beans;low poly canned beans 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
147;Еда;Консервы;Консервированный суп;canned soup;low poly canned soup 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
148;Еда;Консервы;Тушёнка;canned meat;low poly canned meat 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
149;Еда;Консервы;Консервированная кукуруза;canned corn;low poly canned corn 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
150;Еда;Консервы;Консервированный горошек;canned peas;low poly canned peas 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
151;Еда;Консервы;Тунец;canned tuna;low poly canned tuna 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
152;Еда;Консервы;Сардины;canned sardines;low poly canned sardines 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
153;Еда;Консервы;Консервированные персики;canned peaches;low poly canned peaches 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
154;Еда;Консервы;Консервированные томаты;canned tomatoes;low poly canned tomatoes 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
155;Еда;Консервы;Консервированный чили;canned chili;low poly canned chili 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
156;Еда;Консервы;Консервированная морковь;canned carrots;low poly canned carrots 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
157;Еда;Консервы;Спагетти в банке;canned spaghetti;low poly canned spaghetti 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
158;Еда;Консервы;Корм для собак;canned dog food;low poly canned dog food 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
159;Еда;Консервы;Открытая банка;opened tin can;low poly opened tin can 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;состояние
160;Еда;Консервы;Пустая банка;empty tin can;low poly empty tin can 3d model;На земле / в инвентаре;статичная;200-800;да;0.05;M4;Нет;
161;Еда;Сухие продукты;Рис (пакет);bag of rice;low poly bag of rice 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M4;Нет;
162;Еда;Сухие продукты;Макароны (пачка);pasta box;low poly pasta box 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
163;Еда;Сухие продукты;Мука;flour bag;low poly flour bag 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M4;Нет;
164;Еда;Сухие продукты;Сахар;sugar bag;low poly sugar bag 3d model;На земле / в инвентаре;статичная;200-800;да;1.0;M4;Нет;
165;Еда;Сухие продукты;Соль;salt shaker;low poly salt shaker 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
166;Еда;Сухие продукты;Крупа овсяная;oatmeal box;low poly oatmeal box 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
167;Еда;Сухие продукты;Хлопья;cereal box;low poly cereal box 3d model;На земле / в инвентаре;статичная;200-800;да;0.4;M4;Нет;
168;Еда;Сухие продукты;Крекеры;crackers box;low poly crackers box 3d model;На земле / в инвентаре;статичная;200-800;да;0.3;M4;Нет;
169;Еда;Сухие продукты;Чипсы;potato chips bag;low poly potato chips bag 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
170;Еда;Сухие продукты;Шоколадный батончик;chocolate bar;low poly chocolate bar 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
171;Еда;Сухие продукты;Конфеты;candy pack;low poly candy pack 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
172;Еда;Сухие продукты;Жевательная резинка;chewing gum;low poly chewing gum 3d model;На земле / в инвентаре;статичная;200-800;да;0.01;M4;Нет;
173;Еда;Сухие продукты;Орехи;peanuts bag;low poly peanuts bag 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
174;Еда;Сухие продукты;Сухари;dried bread;low poly dried bread 3d model;На земле / в инвентаре;статичная;200-800;да;0.2;M4;Нет;
175;Еда;Сухие продукты;Вяленое мясо;beef jerky;low poly beef jerky 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
176;Еда;Сухие продукты;Лапша быстрого приготовления;instant noodles;low poly instant noodles 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
177;Еда;Сухие продукты;Мюсли батончик;granola bar;low poly granola bar 3d model;На земле / в инвентаре;статичная;200-800;да;0.1;M4;Нет;
178;Еда;Сухие продукты;Арахисовое масло;peanut butter jar;low poly peanut butter jar 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
179;Еда;Сухие продукты;Джем;jam jar;low poly jam jar 3d model;На земле / в инвентаре;статичная;200-800;да;0.5;M4;Нет;
